Columna1,Solute_ID,Formula,Solute_Mol_Mass,Num_Cations,Num_Anions,Cation,Anion,Num_Particles,Cation_Charge,Anion_Charge,Temperature_K,Solvent_Name,Solvent_Mol_Mass,Molal,Salt_Mole_Fraction,Ion_Mole_Fraction,Solvent_Mole_Fraction,Molar,Logarithmic_Concentration,Weight_Percent,Mass_Ratio,Ionic_Strength,Molal_Activity_Coefficient,MAC_Num_Sig_Figs,Osmotic_Coefficient,OC_Num_Sig_Figs,Rational_Activity_Coefficient,Rational_Coefficient,Solvent_Activity
25,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,9,0.139516638,0.244869,0.755131,,15.59032304,0.247067,0.32814,9,7.94,3,2.315,4,10.514744,2.672812845,0.472037428
26,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,10,0.152652097,0.264871,0.735129,,17.08046086,0.267184,0.364599,10,10.44,4,2.444,4,14.20159,2.86174985,0.414539506
27,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,11,0.165392555,0.28384,0.71616,,18.53158393,0.286254,0.40106,11,13.51,4,2.559,4,18.864502,3.037947931,0.362683763
28,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,12,0.177755565,0.301854,0.698146,,19.94568106,0.304357,0.437519,12,17.25,4,2.663,4,24.708326,3.204303899,0.316196001
29,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,13,0.189757655,0.318985,0.681015,,21.32472804,0.321564,0.473979,13,21.8,3,2.76,4,32.011061,3.36510611,0.274507691
30,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,14,0.201414404,0.335295,0.664705,,22.67030797,0.337941,0.510439,14,27.3,3,2.853,4,41.07088,3.523728958,0.237133264
31,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,15,0.212740504,0.350842,0.649158,,23.98403691,0.353545,0.5469,15,34.1,3,2.944,4,52.529631,3.682450392,0.20369938
32,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,16,0.223749827,0.365679,0.634321,,25.26744761,0.368431,0.58336,16,42.4,3,3.033,4,66.843132,3.841147734,0.174036366
0,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.1,0.001798288,0.00359,0.99641,,0.199633839,0.008026,0.008091,0.1,0.805,3,0.948,3,0.8079,0.94982301,0.996589828
1,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.2,0.003590121,0.007154,0.992846,,0.398534609,0.015924,0.016182,0.2,0.782,3,0.954,3,0.787635,0.957559225,0.993148579
2,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.3,0.005375531,0.010693,0.989307,,0.596747926,0.023697,0.024272,0.3,0.777,3,0.964,3,0.785399,0.969249944,0.9896341
3,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.4,0.007154555,0.014207,0.985793,,0.794263845,0.031349,0.032363,0.4,0.781,3,0.978,3,0.792256,0.985052255,0.986003869
